Prp,Dsg,Avl,Shp,Grp,Use,D,B,T,W,BT,HW,K,K1,Dnom,Mass,A,Ix,Sx,Rx,Zx,Iy,Sy,Ry,Zy,J,Cw,Wn,Sw,Qf,Qw,SA,Ds_i,Dn_i,Wt_i
,,,,,,,,,,,,,,,,,10^6,10^3,,10^3,10^6,10^3,,10^3,10^3,10^9,,10^6,10^3,10^3,,,,
W: Wide-Flange Shapes,,,,,,mm,mm,mm,mm,,,mm,mm,mm,kg/m,mm^2,mm^4,mm^3,mm,mm^3,mm^4,mm^3,mm,mm^3,mm^4,mm^6,mm^2,mm^4,mm^3,mm^3,m,,in,lb/ft
*,W530x138,*,1,,3,549,214,23.6,14.7,4.53,34.1,40,23,530,138,17600,861,3140,221,3610,38.7,362,46.9,569,2500,2670,28100,35.5,618,1790,1.92,W21x93,21,93
,W530x123,*,1,,3,544,212,21.2,13.1,5,38.3,38,22,530,123,15700,761,2800,220,3210,33.8,319,46.4,499,1800,2310,27700,31.1,551,1590,1.91,W21x83,21,83
,W530x109,*,1,,3,539,211,18.8,11.6,5.61,43.2,36,21,530,109,13900,667,2480,219,2830,29.5,280,46.1,437,1260,2000,27400,27.2,488,1400,1.9,W21x73,21,73
,W530x101,*,1,,3,537,210,17.4,10.9,6.03,46.1,34,21,530,101,12900,617,2300,219,2620,26.9,256,45.6,400,1020,1820,27300,24.9,450,1290,1.89,W21x68,21,68
,W530x92,*,1,,3,533,209,15.6,10.2,6.7,49.2,32,20,530,92,11800,552,2070,217,2360,23.8,228,44.9,355,762,1590,27000,22,401,1160,1.88,W21x62,21,62
,W530x82,+,1,,3,528,209,13.3,9.5,7.86,52.8,30,20,530,82,10500,477,1810,213,2060,20.3,194,44,303,518,1340,26900,18.7,341,1010,1.87,W21x55,21,55
,W530x72,+,1,,3,524,207,10.9,8.9,9.5,56.4,28,20,530,72,9120,400,1520,209,1750,16.2,156,42.1,244,334,1060,26600,15,277,859,1.86,W21x48,21,48
*,W530x85,*,1,,3,535,166,16.5,10.3,5.03,48.7,33,20,530,85,10800,485,1810,212,2100,12.6,152,34.2,242,737,849,21500,14.7,333,1030,1.71,W21x57,21,57
,W530x74,*,1,,3,529,166,13.6,9.7,6.1,51.7,30,20,530,74,9520,411,1550,208,1810,10.4,125,33.1,200,480,692,21400,12.1,274,887,1.7,W21x50,21,50
,W530x66,*,1,,3,525,165,11.4,8.9,7.24,56.4,28,20,530,66,8370,351,1340,205,1560,8.57,104,32,166,320,565,21200,9.96,228,764,1.69,W21x44,21,44
*,W460x464,*,1,,3,567,305,69.6,38.6,2.19,11.1,86,35,460,464,59100,2900,10200,222,12400,331,2170,74.9,3400,73100,20500,37900,201,2310,6160,2.28,W18x311,18,311
,W460x421,*,1,,3,555,302,63.5,35.6,2.38,12,80,33,460,421,53700,2570,9250,219,11100,293,1940,73.9,3030,55700,17700,37100,178,2080,5530,2.25,W18x283,18,283
,W460x384,*,1,,3,545,299,58.4,32.5,2.56,13.2,75,31,460,384,48900,2290,8420,217,10000,261,1750,73.1,2730,42700,15500,36400,159,1890,4990,2.22,W18x258,18,258
,W460x349,*,1,,3,535,296,53.6,29.5,2.76,14.5,70,30,460,349,44400,2040,7640,214,9010,233,1570,72.3,2440,32800,13500,35600,141,1720,4490,2.2,W18x234,18,234
,W460x315,*,1,,3,525,293,48.5,26.9,3.02,15.9,65,29,460,315,40000,1800,6850,212,8020,204,1390,71.4,2160,24300,11600,34900,124,1540,4000,2.17,W18x211,18,211
,W460x286,*,1,,3,517,291,44.4,24.4,3.28,17.5,61,27,460,286,36400,1610,6230,210,7240,183,1260,70.9,1940,18600,10200,34400,111,1400,3610,2.15,W18x192,18,192
,W460x260,*,1,,3,509,289,40.4,22.6,3.58,18.9,62,32,460,260,33100,1440,5650,208,6530,163,1130,70.1,1740,14100,8950,33900,98.8,1260,3250,2.13,W18x175,18,175
,W460x235,*,1,,3,501,287,36.6,20.6,3.92,20.8,58,31,460,235,29900,1270,5080,206,5840,145,1010,69.5,1550,10500,7790,33300,87.5,1130,2910,2.11,W18x158,18,158
,W460x213,*,1,,3,495,285,33.5,18.5,4.25,23.1,55,30,460,213,27100,1140,4620,205,5270,129,909,69.1,1400,7970,6890,32900,78.5,1030,2630,2.09,W18x143,18,143
,W460x193,*,1,,3,489,283,30.5,17,4.64,25.2,52,29,460,193,24600,1020,4190,204,4750,115,816,68.5,1250,6030,6060,32400,70,930,2370,2.08,W18x130,18,130
,W460x177,*,1,,3,482,286,26.9,16.6,5.32,25.8,49,29,460,177,22600,910,3780,201,4280,105,735,68.2,1130,4410,5440,32500,62.6,825,2130,2.07,W18x119,18,119
,W460x158,*,1,,3,476,284,23.9,15,5.94,28.5,46,28,460,158,20100,796,3350,199,3780,91.4,643,67.4,989,3120,4670,32100,54.5,727,1880,2.06,W18x106,18,106
,W460x144,*,1,,3,472,283,22.1,13.6,6.4,31.5,44,27,460,144,18400,726,3080,199,3450,83.6,591,67.4,906,2440,4230,31800,49.8,670,1720,2.05,W18x97,18,97
,W460x128,*,1,,3,467,282,19.6,12.2,7.19,35.1,41,26,460,128,16400,637,2730,197,3050,73.3,520,66.9,796,1720,3670,31500,43.6,591,1520,2.04,W18x86,18,86
,W460x113,*,1,,3,463,280,17.3,10.8,8.09,39.7,39,26,460,113,14400,556,2400,196,2670,63.3,452,66.3,691,1180,3150,31200,37.8,519,1330,2.02,W18x76,18,76
*,W460x106,*,1,,3,469,194,20.6,12.6,4.71,34,37,22,460,106,13500,488,2080,190,2390,25.1,259,43.2,405,1460,1260,21700,21.7,419,1180,1.69,W18x71,18,71
,W460x97,*,1,,3,466,193,19,11.4,5.08,37.5,36,21,460,97,12300,445,1910,190,2180,22.8,237,43.1,368,1130,1140,21600,19.8,386,1080,1.68,W18x65,18,65
,W460x89,*,1,,3,463,192,17.7,10.5,5.42,40.7,34,20,460,89,11400,410,1770,190,2010,20.9,218,42.9,339,907,1040,21400,18.2,358,997,1.67,W18x60,18,60
,W460x82,*,1,,3,460,191,16,9.9,5.97,43.2,33,20,460,82,10400,370,1610,188,1830,18.6,195,42.2,303,691,918,21200,16.2,322,905,1.66,W18x55,18,55
,W460x74,*,1,,3,457,190,14.5,9,6.55,47.6,31,20,460,74,9450,333,1460,188,1650,16.6,175,41.9,271,517,813,21000,14.5,290,816,1.66,W18x50,18,50
,W460x67,+,1,,3,454,190,12.7,8.5,7.48,50.4,29,19,460,67,8560,295,1300,186,1470,14.5,153,41.2,238,372,708,21000,12.6,254,728,1.65,W18x45,18,45
,W460x61,+,1,,3,450,189,10.8,8.1,8.75,52.9,28,19,460,61,7640,254,1130,182,1290,12.2,129,39.9,200,256,587,20800,10.6,215,634,1.64,W18x41,18,41
*,W460x68,*,1,,3,459,154,15.4,9.1,5,47.1,32,20,460,68,8730,297,1290,184,1490,9.41,122,32.8,192,509,463,17100,10.1,247,735,1.52,W18x46,18,46
,W460x60,*,1,,3,455,153,13.3,8,5.75,53.6,30,19,460,60,7590,255,1120,183,1280,7.96,104,32.4,163,335,388,16900,8.59,213,633,1.51,W18x40,18,40
,W460x52,*,1,,3,450,152,10.8,7.6,7.04,56.4,28,19,460,52,6630,212,943,179,1090,6.34,83.4,30.9,131,210,306,16700,6.85,171,535,1.49,W18x35,18,35
*,W410x149,*,1,,3,431,265,25,14.9,5.3,25.6,47,28,410,149,19200,625,2900,180,3280,77.7,586,63.6,902,3420,3200,26900,44.5,635,1620,1.89,W16x100,16,100
,W410x132,*,1,,3,425,263,22.2,13.3,5.92,28.6,44,27,410,132,17000,545,2560,179,2890,67.4,513,62.9,788,2410,2730,26500,38.7,558,1420,1.88,W16x89,16,89
,W410x114,*,1,,3,420,261,19.3,11.6,6.76,32.9,41,26,410,114,14800,468,2230,178,2490,57.3,439,62.3,673,1610,2300,26100,32.9,482,1220,1.86,W16x77,16,77
,W410x100,*,1,,3,415,260,16.9,10,7.69,38.1,39,25,410,100,12900,404,1950,177,2160,49.6,381,62,583,1090,1960,25900,28.4,420,1060,1.85,W16x67,16,67
*,W410x85,*,1,,3,417,181,18.2,10.9,4.97,34.9,35,21,410,85,10800,315,1510,171,1730,18,199,40.8,310,926,717,18000,14.9,309,854,1.54,W16x57,16,57
,W410x74,*,1,,3,413,180,16,9.7,5.63,39.3,33,20,410,74,9550,275,1330,170,1510,15.6,173,40.4,269,637,614,17900,12.9,270,748,1.53,W16x50,16,50
,W410x67,*,1,,3,410,179,14.4,8.8,6.22,43.3,31,20,410,67,8600,246,1200,169,1360,13.8,154,40,239,469,540,17700,11.4,242,670,1.52,W16x45,16,45
,W410x60,*,1,,3,407,178,12.8,7.7,6.95,49.5,30,19,410,60,7580,216,1060,169,1190,12,135,39.9,209,328,468,17500,9.99,215,589,1.51,W16x40,16,40
,W410x54,*,1,,3,403,177,10.9,7.5,8.12,50.8,28,19,410,54,6810,186,924,165,1050,10.1,114,38.5,177,226,388,17400,8.37,181,514,1.5,W16x36,16,36
*,W410x46,*,1,,3,403,140,11.2,7,6.25,54.4,28,19,410,46,5890,156,773,163,885,5.14,73.4,29.5,115,192,197,13700,5.38,146,434,1.35,W16x31,16,31
,W410x39,*,1,,3,399,140,8.8,6.4,7.95,59.6,26,18,410,39,4990,127,634,159,730,4.04,57.7,28.4,90.6,111,154,13700,4.21,115,357,1.35,W16x26,16,26
*,W360x1086,*,1,,1,569,454,125,78,1.82,4.09,157,69,360,1086,139000,5960,20900,207,27200,1960,8650,119,13400,605000,96700,50400,715,5220,13600,2.8,W14x730,14,730
,W360x990,*,1,,1,550,448,115,71.9,1.95,4.45,147,66,360,990,126000,5190,18900,203,24300,1730,7740,117,12000,469000,82000,48700,628,4700,12100,2.75,W14x665,14,665
,W360x900,*,1,,1,531,442,106,65.9,2.08,4.84,138,63,360,900,115000,4500,17000,198,21600,1530,6940,116,10700,364000,69200,47000,550,4240,10800,2.7,W14x605,14,605
,W360x818,*,1,,1,514,437,97,60.5,2.25,5.29,129,60,360,818,104000,3920,15300,194,19300,1360,6200,114,9560,279000,58900,45600,483,3810,9610,2.66,W14x550,14,550
,W360x744,*,1,,1,498,432,88.9,55.6,2.43,5.76,120,58,360,744,94800,3420,13700,190,17200,1200,5550,112,8550,214000,50200,44200,424,3420,8570,2.61,W14x500,14,500
,W360x677,*,1,,1,483,428,81.5,51.2,2.63,6.25,113,56,360,677,86300,2990,12400,186,15300,1070,4990,111,7680,165000,43100,43000,375,3080,7660,2.58,W14x455,14,455
*,W360x634,*,1,,1,474,424,77.1,47.6,2.75,6.72,109,54,360,634,80800,2740,11600,184,14200,983,4630,110,7120,138000,38700,42100,344,2880,7100,2.55,W14x426,14,426
,W360x592,*,1,,1,465,421,72.3,45,2.91,7.12,104,53,360,592,75500,2500,10800,182,13100,902,4280,109,6570,114000,34800,41300,315,2670,6550,2.52,W14x398,14,398
,W360x551,*,1,,1,455,418,67.6,42,3.09,7.61,99,51,360,551,70100,2260,9940,180,12100,825,3950,108,6050,92500,31000,40500,286,2460,6010,2.5,W14x370,14,370
,W360x509,*,1,,1,446,416,62.7,39.1,3.32,8.2,94,50,360,509,64900,2050,9170,178,11000,754,3630,108,5550,74000,27700,39900,260,2260,5500,2.48,W14x342,14,342
,W360x463,*,1,,1,435,412,57.4,35.8,3.59,8.94,89,48,360,463,59000,1800,8280,175,9880,670,3250,107,4980,56500,23900,38900,230,2040,4920,2.45,W14x311,14,311
,W360x421,*,1,,1,425,409,52.6,32.8,3.89,9.75,84,46,360,421,53700,1600,7510,172,8880,601,2940,106,4490,43400,20800,38100,205,1840,4430,2.42,W14x283,14,283
,W360x382,*,1,,1,416,406,48,29.8,4.23,10.7,80,45,360,382,48700,1410,6790,170,7970,536,2640,105,4030,32900,18200,37400,182,1660,3970,2.4,W14x257,14,257
,W360x347,*,1,,1,407,404,43.7,27.2,4.62,11.8,75,44,360,347,44200,1250,6140,168,7140,481,2380,104,3630,24800,15900,36700,162,1500,3550,2.38,W14x233,14,233
,W360x314,*,1,,1,399,401,39.6,24.9,5.06,12.8,71,42,360,314,39900,1100,5530,166,6370,426,2120,103,3240,18500,13800,36000,143,1340,3170,2.35,W14x211,14,211
,W360x287,*,1,,1,393,399,36.6,22.6,5.45,14.2,68,41,360,287,36600,997,5070,165,5810,388,1940,103,2960,14500,12300,35600,130,1230,2890,2.34,W14x193,14,193
,W360x262,*,1,,1,387,398,33.3,21.1,5.98,15.2,65,41,360,262,33500,894,4620,163,5260,350,1760,102,2680,11100,11000,35200,117,1110,2610,2.32,W14x176,14,176
,W360x237,*,1,,1,380,395,30.2,18.9,6.54,16.9,62,39,360,237,30100,788,4150,162,4690,310,1570,102,2390,8190,9500,34500,103,993,2330,2.3,W14x159,14,159
,W360x216,*,1,,1,375,394,27.7,17.3,7.11,18.5,59,39,360,216,27600,712,3790,161,4260,283,1430,101,2180,6330,8520,34200,93.3,906,2120,2.29,W14x145,14,145
*,W360x196,*,1,,1,372,374,26.2,16.4,7.14,19.5,58,38,360,196,25000,636,3420,159,3840,229,1220,95.5,1860,5140,6830,32300,79.2,810,1900,2.21,W14x132,14,132
,W360x179,*,1,,1,368,373,23.9,15,7.8,21.3,55,38,360,179,22800,575,3120,159,3480,207,1110,95.2,1680,3910,6120,32100,71.5,736,1730,2.2,W14x120,14,120
,W360x162,*,1,,2,364,371,21.8,13.3,8.51,24.1,53,37,360,162,20600,516,2830,158,3140,186,1000,94.8,1520,2940,5430,31700,64.2,667,1550,2.19,W14x109,14,109
,W360x147,*,1,,2,360,370,19.8,12.3,9.34,26,51,36,360,147,18800,463,2570,157,2840,167,904,94.3,1370,2230,4840,31500,57.6,602,1400,2.18,W14x99,14,99
,W360x134,*,1,,2,356,369,18,11.2,10.3,28.6,50,36,360,134,17100,415,2330,156,2560,151,817,94,1240,1680,4310,31200,51.8,544,1270,2.17,W14x90,14,90
*,W360x122,*,1,,2,363,257,21.7,13,5.92,24.6,44,27,360,122,15500,365,2010,154,2270,61.5,478,63,732,2110,1790,21900,30.6,452,1120,1.73,W14x82,14,82
,W360x110,*,1,,2,360,256,19.9,11.4,6.43,28.1,42,26,360,110,14000,331,1840,154,2060,55.7,435,63,664,1600,1610,21800,27.7,414,1010,1.72,W14x74,14,74
,W360x101,*,1,,2,357,255,18.3,10.5,6.97,30.5,40,26,360,101,12900,301,1690,153,1880,50.6,397,62.7,605,1250,1450,21600,25.2,379,925,1.71,W14x68,14,68
,W360x91,*,1,,2,353,254,16.4,9.5,7.74,33.7,38,25,360,91,11600,267,1510,152,1680,44.8,353,62.3,538,914,1270,21400,22.3,337,823,1.7,W14x61,14,61
*,W360x79,*,1,,2,354,205,16.8,9.4,6.1,34.1,39,25,360,79,10100,226,1280,150,1430,24.2,236,48.9,362,811,687,17300,14.9,277,701,1.51,W14x53,14,53
,W360x72,*,1,,2,350,204,15.1,8.6,6.75,37.2,37,25,360,72,9100,201,1150,149,1280,21.4,210,48.5,322,601,600,17100,13.2,247,626,1.5,W14x48,14,48
,W360x64,*,1,,2,347,203,13.5,7.7,7.52,41.6,35,24,360,64,8140,178,1030,148,1140,18.8,186,48.1,284,436,524,16900,11.6,220,556,1.49,W14x43,14,43
*,W360x57,*,1,,3,358,172,13.1,7.9,6.56,42,30,19,360,57,7220,161,897,149,1010,11.1,129,39.3,200,334,331,14800,8.35,185,497,1.39,W14x38,14,38
,W360x51,*,1,,3,355,171,11.6,7.2,7.37,46.1,28,19,360,51,6450,141,796,148,894,9.68,113,38.8,174,238,285,14700,7.28,163,440,1.38,W14x34,14,34
,W360x45,*,1,,3,352,171,9.8,6.9,8.72,48.2,27,19,360,45,5730,122,691,146,779,8.18,95.7,37.8,148,160,239,14600,6.13,138,382,1.37,W14x30,14,30
*,W360x39,*,1,,3,353,128,10.7,6.5,5.98,51,27,18,360,39,4980,102,580,143,662,3.75,58.6,27.4,91.7,151,110,11000,3.75,111,324,1.21,W14x26,14,26
,W360x33,*,1,,3,349,127,8.5,5.8,7.47,57.2,25,18,360,33,4170,82.7,474,141,542,2.91,45.8,26.4,71.8,85.9,84.3,10800,2.92,87.7,264,1.19,W14x22,14,22
*,W310x500,*,1,,1,427,340,75.1,45.1,2.26,6.14,97,43,310,500,63800,1690,7910,163,9880,494,2910,88,4490,101000,15300,29900,191,1950,4920,2.12,W12x336,12,336
,W310x454,*,1,,1,415,336,68.7,41.3,2.45,6.72,91,41,310,454,57800,1480,7130,160,8820,436,2600,86.8,4000,77200,13100,29100,168,1750,4390,2.09,W12x305,12,305
,W310x415,*,1,,1,403,334,62.7,38.9,2.66,7.14,85,40,310,415,52900,1300,6450,157,7900,391,2340,86,3610,59500,11300,28400,149,1570,3940,2.06,W12x279,12,279
,W310x375,*,1,,1,391,330,57.2,35.4,2.88,7.81,79,38,310,375,47700,1130,5770,154,7000,344,2080,84.8,3210,44900,9570,27500,130,1410,3490,2.03,W12x252,12,252
,W310x342,*,1,,1,382,328,52.6,32.6,3.12,8.49,74,37,310,342,43700,1010,5260,152,6330,310,1890,84.2,2910,34900,8420,27000,117,1280,3150,2.01,W12x230,12,230
,W310x313,*,1,,1,374,325,48.3,30,3.36,9.25,70,35,310,313,39900,896,4790,150,5720,277,1700,83.3,2620,27000,7350,26500,104,1160,2840,1.99,W12x210,12,210
*,W310x283,*,1,,1,365,322,44.1,26.9,3.65,10.3,66,34,310,283,36000,787,4310,148,5100,246,1530,82.6,2340,20400,6330,25800,91.7,1040,2540,1.96,W12x190,12,190
,W310x253,*,1,,1,356,319,39.6,24.4,4.03,11.3,61,33,310,253,32200,682,3830,146,4490,215,1350,81.6,2060,14800,5370,25200,79.7,923,2230,1.94,W12x170,12,170
,W310x226,*,1,,1,348,317,35.6,22.1,4.45,12.5,57,31,310,226,28900,596,3420,144,3980,189,1190,81,1830,10800,4620,24800,69.8,820,1970,1.92,W12x152,12,152
,W310x202,*,1,,1,341,315,31.8,20.1,4.95,13.8,54,30,310,202,25800,520,3050,142,3510,166,1050,80.2,1610,7740,3960,24300,61,725,1740,1.9,W12x136,12,136
,W310x179,*,1,,1,333,313,28.1,18,5.57,15.4,50,29,310,179,22800,445,2680,140,3050,144,919,79.5,1400,5380,3340,23900,52.5,632,1510,1.88,W12x120,12,120
,W310x158,*,1,,1,327,310,25.1,15.5,6.18,17.9,47,28,310,158,20100,386,2360,139,2670,125,805,78.9,1220,3780,2840,23400,45.5,558,1320,1.86,W12x106,12,106
,W310x143,*,1,,1,323,309,22.9,14,6.75,19.8,45,27,310,143,18200,348,2150,138,2420,113,729,78.6,1110,2870,2540,23200,41,507,1200,1.85,W12x96,12,96
,W310x129,*,1,,2,318,308,20.6,13.1,7.48,21.1,42,27,310,129,16500,308,1940,137,2160,100,652,78,991,2130,2220,22900,36.3,452,1070,1.84,W12x87,12,87
,W310x118,*,1,,2,314,307,18.7,11.9,8.21,23.2,41,26,310,118,15000,275,1750,136,1950,90.2,588,77.6,893,1600,1970,22700,32.5,407,961,1.83,W12x79,12,79
,W310x107,*,1,,2,311,306,17,10.9,9,25.4,39,26,310,107,13600,248,1590,135,1770,81.2,531,77.2,806,1220,1760,22500,29.2,369,869,1.82,W12x72,12,72
,W310x97,*,1,,2,308,305,15.4,9.9,9.9,28,37,25,310,97,12300,222,1440,134,1590,72.9,478,76.9,725,912,1560,22300,26.2,332,782,1.82,W12x65,12,65
*,W310x86,*,1,,2,310,254,16.3,9.1,7.79,30.5,36,23,310,86,11000,199,1280,134,1420,44.5,351,63.6,533,877,961,18600,19.3,293,696,1.62,W12x58,12,58
,W310x79,*,1,,2,306,254,14.6,8.8,8.7,31.5,34,22,310,79,10100,177,1160,133,1280,39.9,314,63,478,657,847,18500,17.2,261,625,1.61,W12x53,12,53
*,W310x74,*,1,,2,310,205,16.3,9.4,6.29,29.5,36,23,310,74,9430,164,1060,132,1180,23.4,229,49.9,350,718,505,15100,12.6,234,581,1.42,W12x50,12,50
,W310x67,*,1,,2,306,204,14.6,8.5,6.99,32.6,34,22,310,67,8450,144,942,131,1050,20.7,203,49.5,310,522,439,14900,11.1,208,515,1.41,W12x45,12,45
,W310x60,*,1,,2,303,203,13.1,7.5,7.75,36.9,33,22,310,60,7530,128,842,130,933,18.3,180,49.3,275,378,384,14700,9.78,186,457,1.4,W12x40,12,40
*,W310x52,*,1,,3,318,167,13.2,7.6,6.33,38.4,30,19,310,52,6670,119,750,134,841,10.3,123,39.2,189,308,238,12700,7.01,160,417,1.29,W12x35,12,35
,W310x45,*,1,,3,313,166,11.2,6.6,7.41,44,28,19,310,45,5690,99.2,634,132,708,8.55,103,38.8,158,191,195,12500,5.82,135,350,1.28,W12x30,12,30
,W310x39,*,1,,3,310,165,9.7,5.8,8.51,50.1,26,18,310,39,4940,85.1,549,131,610,7.27,88.1,38.4,135,126,164,12400,4.96,116,302,1.27,W12x26,12,26
,W310x31,+,1,,3,306,164,7.4,5,11.1,58.2,24,18,310,31,3930,65.4,428,129,476,5.44,66.4,37.2,102,61.3,121,12200,3.71,87.8,234,1.26,W12x21,12,21
*,W310x33,*,1,,3,313,102,10.8,6.6,4.72,44.2,23,14,310,33,4180,65,415,125,480,1.92,37.6,21.4,59.6,122,43.8,7710,2.12,77.8,237,1.02,W12x22,12,22
,W310x28,*,1,,3,309,102,8.9,6,5.73,48.5,22,14,310,28,3610,54.3,351,123,407,1.58,31,20.9,49.2,75.7,35.6,7650,1.74,64.1,200,1.01,W12x19,12,19
,W310x24,*,1,,3,305,101,6.7,5.6,7.54,52.1,19,14,310,24,3040,42.7,280,119,328,1.16,22.9,19.5,36.7,42.5,25.7,7530,1.27,47.7,160,1,W12x16,12,16
,W310x21,*,1,,3,303,101,5.7,5.1,8.86,57.2,18,14,310,21,2690,37,244,117,287,0.983,19.5,19.1,31.2,29.4,21.7,7510,1.08,40.6,140,1,W12x14,12,14
*,W250x167,*,1,,1,289,265,31.8,19.2,4.17,11.7,49,25,250,167,21300,300,2080,119,2430,98.8,746,68.1,1140,6310,1630,17000,35.9,503,1210,1.6,W10x112,10,112
,W250x149,*,1,,1,282,263,28.4,17.3,4.63,13,45,24,250,149,19000,259,1840,117,2130,86.2,656,67.4,1000,4510,1390,16700,31.1,442,1060,1.58,W10x100,10,100
,W250x131,*,1,,1,275,261,25.1,15.4,5.2,14.6,42,23,250,131,16700,221,1610,115,1850,74.5,571,66.8,870,3120,1160,16300,26.7,385,916,1.56,W10x88,10,88
,W250x115,*,1,,1,269,259,22.1,13.5,5.86,16.7,39,22,250,115,14600,189,1410,114,1600,64.1,495,66.2,753,2130,976,16000,22.9,335,792,1.55,W10x77,10,77
,W250x101,*,1,,2,264,257,19.6,11.9,6.56,18.9,36,21,250,101,12900,164,1240,113,1400,55.5,432,65.6,656,1490,829,15700,19.8,294,691,1.53,W10x68,10,68
,W250x89,*,1,,2,260,256,17.3,10.7,7.4,21.1,34,21,250,89,11400,143,1100,112,1230,48.4,378,65.1,574,1040,713,15500,17.2,257,605,1.52,W10x60,10,60
,W250x80,*,1,,2,256,255,15.6,9.4,8.17,23.9,32,20,250,80,10200,126,982,111,1090,43.1,338,65,513,757,623,15300,15.2,230,538,1.51,W10x54,10,54
,W250x73,*,1,,2,253,254,14.2,8.6,8.94,26.1,31,20,250,73,9280,113,891,110,985,38.8,306,64.6,463,575,553,15200,13.7,208,485,1.5,W10x49,10,49
*,W250x67,*,1,,2,257,204,15.7,8.9,6.5,25.3,32,20,250,67,8550,104,806,110,901,22.2,218,51,332,625,324,12300,9.85,185,443,1.31,W10x45,10,45
,W250x58,*,1,,2,252,203,13.5,8,7.52,28.1,30,19,250,58,7420,87.3,693,108,770,18.8,186,50.4,283,409,268,12100,8.29,157,377,1.3,W10x39,10,39
,W250x49,*,1,,2,247,202,11,7.4,9.18,30.4,28,19,250,49,6250,70.6,572,106,633,15.1,150,49.2,228,241,211,11900,6.62,126,309,1.29,W10x33,10,33
*,W250x45,*,1,,3,266,148,13,7.6,5.69,31.6,27,17,250,45,5720,71.1,534,111,602,7.03,95.1,35.1,146,261,113,9360,4.5,115,298,1.11,W10x30,10,30
,W250x39,*,1,,3,262,147,11.2,6.6,6.56,36.3,25,16,250,39,4920,60.1,459,110,513,5.94,80.8,34.7,124,169,93.4,9220,3.79,98.6,254,1.1,W10x26,10,26
,W250x33,*,1,,3,258,146,9.1,6.1,8.02,39.3,23,16,250,33,4170,48.9,379,108,424,4.73,64.7,33.7,99.5,98.5,73.2,9080,3.02,79.2,209,1.09,W10x22,10,22
,W250x24,+,1,,3,253,145,6.4,5,11.3,48,21,15,250,24,3110,34.7,274,106,307,3.26,44.9,32.4,69,39.7,49.5,8940,2.07,55.2,150,1.08,W10x16,10,16
*,W250x28,*,1,,3,260,102,10,6.4,5.1,37.5,23,14,250,28,3630,40,307,105,353,1.78,34.8,22.1,54.7,96.7,27.7,6380,1.63,59.8,174,0.915,W10x19,10,19
,W250x25,*,1,,3,257,102,8.4,6.1,6.07,39.4,21,14,250,25,3230,34.2,266,103,307,1.49,29.2,21.5,46.2,65.2,23,6340,1.36,50.1,150,0.91,W10x17,10,17
,W250x22,*,1,,3,254,102,6.9,5.8,7.39,41.4,20,14,250,22,2850,28.9,227,101,263,1.23,24,20.7,38.1,43.4,18.7,6300,1.11,41,129,0.904,W10x15,10,15
,W250x18,*,1,,3,251,101,5.3,4.8,9.53,50.1,18,14,250,18,2270,22.4,179,99.3,207,0.913,18.1,20,28.6,22.4,13.8,6200,0.83,31.3,100,0.896,W10x12,10,12
*,W200x100,*,1,,2,229,210,23.7,14.5,4.43,12.5,40,22,200,100,12700,113,989,94.5,1150,36.6,349,53.8,533,2090,386,10800,13.4,238,571,1.27,W8x67,8,67
,W200x86,*,1,,2,222,209,20.6,13,5.07,13.9,37,22,200,86,11000,94.7,853,92.6,981,31.4,300,53.3,458,1390,318,10500,11.3,203,487,1.25,W8x58,8,58
,W200x71,*,1,,2,216,206,17.4,10.2,5.92,17.8,34,20,200,71,9100,76.6,709,91.7,803,25.4,246,52.8,375,817,250,10200,9.17,169,398,1.24,W8x48,8,48
,W200x59,*,1,,2,210,205,14.2,9.1,7.22,20,31,20,200,59,7560,61.1,582,89.9,653,20.4,199,52,303,463,196,10000,7.3,136,323,1.22,W8x40,8,40
,W200x52,*,1,,2,206,204,12.6,7.9,8.1,22.9,29,19,200,52,6650,52.7,512,89,569,17.8,175,51.8,266,323,167,9860,6.34,119,281,1.21,W8x35,8,35
,W200x46,*,1,,2,203,203,11,7.2,9.23,25.1,28,19,200,46,5860,45.4,448,88.1,495,15.3,151,51.2,229,220,141,9740,5.44,103,244,1.2,W8x31,8,31
*,W200x42,*,1,,2,205,166,11.8,7.2,7.03,25.2,24,15,200,42,5310,40.9,399,87.7,445,9,108,41.2,165,222,84,8020,3.93,90.5,219,1.06,W8x28,8,28
,W200x36,*,1,,2,201,165,10.2,6.2,8.09,29.1,23,14,200,36,4570,34.4,342,86.7,379,7.64,92.6,40.9,141,145,69.6,7870,3.31,77.3,186,1.05,W8x24,8,24
*,W200x31,*,1,,2,210,134,10.2,6.4,6.57,29.6,22,13,200,31,4000,31.4,299,88.6,335,4.1,61.1,32,93.8,119,40.9,6690,2.29,65,165,0.943,W8x21,8,21
,W200x27,*,1,,2,207,133,8.4,5.8,7.92,32.8,20,13,200,27,3390,25.8,249,87.3,279,3.3,49.6,31.2,76.1,71.3,32.5,6600,1.84,53.1,137,0.934,W8x18,8,18
,W200x21,+,1,,3,203,133,6.4,5,10.4,38,18,13,200,21,2700,19.8,195,85.5,217,2.51,37.8,30.5,58,35.6,24.3,6540,1.39,40.3,106,0.928,W8x14,8,14
*,W200x22,*,1,,3,206,102,8,6.2,6.38,30.6,20,13,200,22,2860,20,194,83.6,222,1.42,27.8,22.3,43.7,56.6,13.9,5050,1.03,37.9,109,0.808,W8x15,8,15
