Prp,Dsg,Avl,Shp,Grp,Use,D,B,T,W,BT,HW,K,K1,Dnom,Mass,A,Ix,Sx,Rx,Zx,Iy,Sy,Ry,Zy,J,Cw,Wn,Sw,Qf,Qw,SA,Ds_i,Dn_i,Wt_i
,,,,,,,,,,,,,,,,,10^6,10^3,,10^3,10^6,10^3,,10^3,10^3,10^9,,10^6,10^3,10^3,,,,
W: Wide-Flange Shapes,,,,,,mm,mm,mm,mm,,,mm,mm,mm,kg/m,mm^2,mm^4,mm^3,mm,mm^3,mm^4,mm^3,mm,mm^3,mm^4,mm^6,mm^2,mm^4,mm^3,mm^3,m,,in,lb/ft
,W920x787,*,1,,3,1011,437,73.9,40.9,2.96,21.1,105,50,920,787,100000,16500,32600,405,38100,1030,4730,101,7430,136000,227000,102000,827,6860,18900,3.69,W36x529,36,529
,W920x725,*,1,,3,999,434,68.1,38.1,3.19,22.6,100,49,920,725,92500,15000,29900,402,34800,932,4300,100,6740,107000,202000,101000,746,6270,17300,3.66,W36x487,36,487
,W920x656,*,1,,3,987,431,62,34.5,3.48,25,94,47,920,656,83700,13400,27100,400,31400,831,3850,99.6,6030,80700,178000,99700,666,5680,15600,3.63,W36x441,36,441
,W920x588,*,1,,3,976,427,55.9,31,3.82,27.9,87,46,920,588,75000,11900,24300,398,28000,728,3410,98.5,5310,59100,154000,98200,586,5090,13900,3.6,W36x395,36,395
,W920x537,*,1,,3,965,425,51.1,28.4,4.16,30.4,83,44,920,537,68400,10700,22200,395,25300,656,3090,97.9,4800,45300,137000,97100,527,4630,12600,3.57,W36x361,36,361
,W920x491,*,1,,3,957,422,47,25.9,4.49,33.3,79,43,920,491,62500,9700,20300,394,23100,590,2800,97.2,4340,35100,122000,96000,476,4240,11400,3.55,W36x330,36,330
,W920x449,*,1,,3,948,423,42.7,24,4.95,35.9,74,42,920,449,57300,8780,18500,391,21000,540,2550,97,3950,26800,111000,95700,432,3860,10400,3.54,W36x302,36,302
,W920x420,*,1,,3,943,422,39.9,22.5,5.29,38.4,71,41,920,420,53600,8170,17300,390,19600,501,2370,96.7,3670,22000,102000,95300,401,3600,9700,3.53,W36x282,36,282
,W920x390,*,1,,3,936,420,36.6,21.3,5.74,40.5,68,41,920,390,49600,7450,15900,388,18000,453,2160,95.5,3330,17300,91600,94400,363,3280,8890,3.51,W36x262,36,262
,W920x368,*,1,,3,931,419,34.3,20.3,6.11,42.5,66,40,920,368,46700,6960,14900,386,16900,421,2010,94.9,3110,14500,84700,93900,337,3070,8330,3.5,W36x247,36,247
,W920x344,*,1,,3,927,418,32,19.3,6.53,44.7,64,40,920,344,43900,6480,14000,384,15800,390,1870,94.3,2880,11900,78100,93500,313,2850,7780,3.49,W36x231,36,231
*,W920x381,*,1,,3,951,310,43.9,24.4,3.53,35.4,66,33,920,381,48600,6970,14700,379,17000,219,1410,67.1,2240,22000,45100,70300,239,2840,8440,3.09,W36x256,36,256
